開放漢語詞典

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本詞典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）

［繁體字］	［簡體字］	［漢語拼音］
背井離鄉	背井离乡	bei4 jing3 li2 xiang1
貝殼	贝壳	bei4 ke2
被困	被困	bei4 kun4
蓓蕾	蓓蕾	bei4 lei3
貝蕾帽	贝蕾帽	bei4 lei3 mao4
被列入	被列入	bei4 lie4 ru4
悖論	悖论	bei4 lun4
悖謾	悖谩	bei4 man4
悖耄	悖耄	bei4 mao4
背叛	背叛	bei4 pan4
被判死刑	被判死刑	bei4 pan4 si3 xing2
被騙	被骗	bei4 pian4
被騙了	被骗了	bei4 pian4 le5
被評為	被评为	bei4 ping2 wei2
被迫	被迫	bei4 po4
背鰭	背鳍	bei4 qi2
被歧視	被歧视	bei4 qi2 shi4
被槍斃	被枪毙	bei4 qiang1 bi4
被搶	被抢	bei4 qiang3
備取	备取	bei4 qu3
被褥	被褥	bei4 ru4
焙燒	焙烧	bei4 shao1
被視為	被视为	bei4 shi4 wei2
備受	备受	bei4 shou4
備受爭議	备受争议	bei4 shou4 zheng1 yi4
背水一戰	背水一战	bei4 shui3 yi2 zhan4
備胎	备胎	bei4 tai1
被提及	被提及	bei4 ti2 ji2
被提名	被提名	bei4 ti2 ming2
被偷	被偷	bei4 tou1
悖惘	悖惘	bei4 wang3
備忘	备忘	bei4 wang4
悖妄	悖妄	bei4 wang4
備忘錄	备忘录	bei4 wang4 lu4
被窩	被窝	bei4 wo1
背心	背心	bei4 xin1
背信棄義	背信弃义	bei4 xin4 qi4 yi4
悖言	悖言	bei4 yan2
被腰斬	被腰斩	bei4 yao1 zhan3
備用	备用	bei4 yong4
備用鑰匙	备用钥匙	bei4 yong4 yao4 shi5
備戰	备战	bei4 zhan4
備至	备至	bei4 zhi4
備註	备注	bei4 zhu4
被抓	被抓	bei4 zhua1
被子植物	被子植物	bei4 zi3 zhi2 wu4
被子	被子	bei4 zi5
輩子	辈子	bei4 zi5
奔波	奔波	ben1 bo1
奔馳	奔驰	ben1 chi2
奔雷	奔雷	ben1 lei2
賁門	贲门	ben1 men2
賁石	贲石	ben1 shi2
賁士	贲士	ben1 shi4
奔騰	奔腾	ben1 teng2
賁育	贲育	ben1 yu4
賁張	贲张	ben1 zhang1
奔走	奔走	ben1 zou3
本地	本地	ben3 di4
本地口音	本地口音	ben3 di4 kou3 yin1
本地人	本地人	ben3 di4 ren2
本地人	本地人	ben3 di4 ren2
苯酚	苯酚	ben3 fen1
本國	本国	ben3 guo2
畚箕	畚箕	ben3 ji1
本家	本家	ben3 jia1
本來	本来	ben3 lai2
本來面目	本来面目	ben3 lai2 mian4 mu4
本末倒置	本末倒置	ben3 mo4 dao4 zhi4
本人	本人	ben3 ren2
本身	本身	ben3 shen1
本息	本息	ben3 xi1
本性	本性	ben3 xing4
本性難改	本性难改	ben3 xing4 nan2 gai3
苯乙烯	苯乙烯	ben3 yi3 xi1
本義	本义	ben3 yi4
笨手笨腳	笨手笨脚	ben4 shou3 ben4 jiao3
笨頭笨腦	笨头笨脑	ben4 tou2 ben4 nao3
笨拙	笨拙	ben4 zhuo1
繃帶	绷带	beng1 dai4
繃緊	绷紧	beng1 jin3
崩潰	崩溃	beng1 kui4
繃臉	绷脸	beng1 lian3
崩症	崩症	beng1 zheng4
甭管	甭管	beng2 guan3
甭客氣	甭客气	beng2 ke4 qi5
蹦蹦跳跳	蹦蹦跳跳	beng4 beng4 tiao4 tiao4
繃脆	绷脆	beng4 cui4
蹦躂	蹦跶	beng4 da5
迸發	迸发	beng4 fa1
迸濺	迸溅	beng4 jian4
繃亮	绷亮	beng4 liang4
迸裂	迸裂	beng4 lie4
繃硬	绷硬	beng4 ying4
繃直	绷直	beng4 zhi2
鏰子	镚子	beng4 zi5
逼供	逼供	bi1 gong4
逼近	逼近	bi1 jin4
逼迫	逼迫	bi1 po4
逼人	逼人	bi1 ren2
逼人太甚	逼人太甚	bi1 ren2 tai4 shen4
逼上樑山	逼上樑山	bi1 shang4 liang2 shan1
逼真	逼真	bi1 zhen1
鼻尖	鼻尖	bi2 jian1
鼻梁	鼻梁	bi2 liang2
鼻毛	鼻毛	bi2 mao2
荸薺	荸荠	bi2 qi5
鼻涕蟲	鼻涕虫	bi2 ti1 chong2
鼻涕	鼻涕	bi2 ti4
鼻頭	鼻头	bi2 tou2
鼻息	鼻息	bi2 xi1
鼻翼	鼻翼	bi2 yi4
鼻子	鼻子	bi2 zi5
鼻子一酸	鼻子一酸	bi2 zi5 yi4 suan1
鼻祖	鼻祖	bi2 zu3
彼岸	彼岸	bi3 an4
比不上	比不上	bi3 bu5 shang4
彼此	彼此	bi3 ci3
吡啶	吡啶	bi3 ding4
比方說	比方说	bi3 fang1 shuo1
比分	比分	bi3 fen1
比附	比附	bi3 fu4
筆桿	笔杆	bi3 gan3
筆供	笔供	bi3 gong4
秕穀子	秕谷子	bi3 gu3 zi5
筆畫	笔画	bi3 hua4
筆記	笔记	bi3 ji4
筆記本	笔记本	bi3 ji4 ben3
筆尖	笔尖	bi3 jian1
比較	比较	bi3 jiao4
秕糠	秕糠	bi3 kang1
秕粒	秕粒	bi3 li4
筆力蒼勁	笔力苍劲	bi3 li4 cang1 jing4
吡咯	吡咯	bi3 luo4
比率	比率	bi3 lv4
筆帽	笔帽	bi3 mao4
筆墨	笔墨	bi3 mo4
比拼	比拼	bi3 pin1
比如	比如	bi3 ru2
比賽	比赛	bi3 sai4
比上不足，比下有餘	比上不足，比下有余	bi3 shang4 bu4 zu2 bi3 xia4 you3 yu2
鄙視	鄙视	bi3 shi4
匕首	匕首	bi3 shou3
比手畫腳	比手画脚	bi3 shou3 hua4 jiao3
筆挺	笔挺	bi3 ting3
筆筒	笔筒	bi3 tong3
匹休	匹休	bi3 xiu1
鄙夷	鄙夷	bi3 yi2
彼一時此一時	彼一时此一时	bi3 yi4 shi2 ci3 yi4 shi2
筆意縱橫	笔意纵横	bi3 yi4 zong4 heng2
筆友	笔友	bi3 you3
比喻	比喻	bi3 yu4
比喻失當	比喻失当	bi3 yu4 shi1 dang4
筆者	笔者	bi3 zhe3
秕政	秕政	bi3 zheng4
筆直	笔直	bi3 zhi2
秕子	秕子	bi3 zi5
狴犴	狴犴	bi4 an4
蓽茇	荜茇	bi4 ba2
臂膀	臂膀	bi4 bang3
弊病	弊病	bi4 bing4
馝馞	馝馞	bi4 bo2
必不可少	必不可少	bi4 bu4 ke3 shao3
壁櫥	壁橱	bi4 chu2
必讀	必读	bi4 du2
弊端	弊端	bi4 duan1
避風港	避风港	bi4 feng1 gang3
壁虎	壁虎	bi4 hu3
庇護	庇护	bi4 hu4
賁華	贲华	bi4 hua1
賁齎	贲赍	bi4 ji1
畢竟	毕竟	bi4 jing4
痺厥	痹厥	bi4 jue2
避開	避开	bi4 kai1
斃了	毙了	bi4 le5
壁壘	壁垒	bi4 lei3
觱篥	觱篥	bi4 li4
賁臨	贲临	bi4 lin2
壁爐	壁炉	bi4 lu2
秘魯	秘鲁	bi4 lu3
篳路藍縷	筚路蓝缕	bi4 lu4 lan2 lv3
碧綠	碧绿	bi4 lv4
閉門	闭门	bi4 men2
閉門羹	闭门羹	bi4 men2 geng1
避免	避免	bi4 mian3
閉目塞聽	闭目塞听	bi4 mu4 se4 ting1
閉目養神	闭目养神	bi4 mu4 yang3 shen2
避難所	避难所	bi4 nan4 suo3
婢女	婢女	bi4 nv3
必然	必然	bi4 ran2
賁然	贲然	bi4 ran2
敝人	敝人	bi4 ren2
賁如	贲如	bi4 ru2
閉上眼睛	闭上眼睛	bi4 shang4 yan3 jing5
壁蝨	壁虱	bi4 shi1
必死無疑	必死无疑	bi4 si3 wu2 yi2
痺頑	痹顽	bi4 wan2
敝屣	敝屣	bi4 xi3
贔屭	赑屃	bi4 xi4
陛下	陛下	bi4 xia4
畢肖	毕肖	bi4 xiao4
辟邪	辟邪	bi4 xie2
必須	必须	bi4 xu1
必要	必要	bi4 yao4
畢業	毕业	bi4 ye4
畢業典禮	毕业典礼	bi4 ye4 dian3 li3
畢業生	毕业生	bi4 ye4 sheng1
裨益	裨益	bi4 yi4
碧玉	碧玉	bi4 yu4
避孕套	避孕套	bi4 yun4 tao4
痺症	痹症	bi4 zheng4
壁紙	壁纸	bi4 zhi3
鞭爆	鞭爆	bian1 bao4
鞭策	鞭策	bian1 ce4
鞭長莫及	鞭长莫及	bian1 chang2 mo4 ji2
鞭笞	鞭笞	bian1 chi1
編出	编出	bian1 chu1
編出來	编出来	bian1 chu1 lai2
邊防	边防	bian1 fang2
蝙蝠	蝙蝠	bian1 fu2
編號	编号	bian1 hao4
鯿花	鳊花	bian1 hua1
編輯	编辑	bian1 ji2
邊際	边际	bian1 ji4
邊疆	边疆	bian1 jiang1
邊界	边界	bian1 jie4
邊境	边境	bian1 jing4
鞭炮	鞭炮	bian1 pao4
邊騎	边骑	bian1 qi2
編曲	编曲	bian1 qu3
鞭撻	鞭挞	bian1 ta4
鯿魚	鳊鱼	bian1 yu2
邊緣	边缘	bian1 yuan2
編造	编造	bian1 zao4
編織	编织	bian1 zhi1
編織業	编织业	bian1 zhi1 ye4
編製	编制	bian1 zhi4
編製草席	编制草席	bian1 zhi4 cao3 xi2
編製大綱	编制大纲	bian1 zhi4 da4 gang1
編鐘	编钟	bian1 zhong1
編著	编著	bian1 zhu4
鞭子	鞭子	bian1 zi5
貶低	贬低	bian3 di1
匾額	匾额	bian3 e2
扁平	扁平	bian3 ping2
扁桃腺	扁桃腺	bian3 tao2 xian4
貶謫	贬谪	bian3 zhe2
貶值	贬值	bian3 zhi2
扁舟	扁舟	bian3 zhou1
辨白	辨白	bian4 bai2
辯白	辩白	bian4 bai2
變本加厲	变本加厉	bian4 ben3 jia1 li4
辨別	辨别	bian4 bie2
遍佈	遍布	bian4 bu4
變成	变成	bian4 cheng2
便當	便当	bian4 dang4
遍地	遍地	bian4 di4
變動	变动	bian4 dong4
便服	便服	bian4 fu2
變更	变更	bian4 geng1
辯護	辩护	bian4 hu4
變化	变化	bian4 hua4
變化莫測	变化莫测	bian4 hua4 mo4 ce4
變化無常	变化无常	bian4 hua4 wu2 chang2
變換	变换	bian4 huan4
變幻莫測	变幻莫测	bian4 huan4 mo4 ce4
變換器	变换器	bian4 huan4 qi4
遍及世界	遍及世界	bian4 ji2 shi4 jie4
便箋	便笺	bian4 jian1
辯解	辩解	bian4 jie3
變老	变老	bian4 lao3
便利	便利	bian4 li4
便利店	便利店	bian4 li4 dian4
變臉	变脸	bian4 lian3
辯論	辩论	bian4 lun4
變賣	变卖	bian4 mai4
便秘	便秘	bian4 mi4
變魔術	变魔术	bian4 mo2 shu4
便溺	便溺	bian4 niao4
變遷	变迁	bian4 qian1
辨認	辨认	bian4 ren4
變色龍	变色龙	bian4 se4 long2
變數	变数	bian4 shu4
遍體鱗傷	遍体鳞伤	bian4 ti3 lin2 shang1
變通	变通	bian4 tong1
變相	变相	bian4 xiang4
便攜	便携	bian4 xie2
便血	便血	bian4 xie3
變壓器	变压器	bian4 ya1 qi4
便衣	便衣	bian4 yi1
辯証法	辩証法	bian4 zheng4 fa3
辮子	辫子	bian4 zi5
標本	标本	biao1 ben3
標本兼治	标本兼治	biao1 ben3 jian1 zhi4
飆車	飙车	biao1 che1
標的	标的	biao1 di4
膘肥體壯	膘肥体壮	biao1 fei2 ti3 zhuang4
飆風	飙风	biao1 feng1
膘厚	膘厚	biao1 hou4
鏢局	镖局	biao1 ju2
鏢客	镖客	biao1 ke4
標籤	标签	biao1 qian1
飆升	飙升	biao1 sheng1
鏢師	镖师	biao1 shi1
標題	标题	biao1 ti2
膘息	膘息	biao1 xi1
標新立異	标新立异	biao1 xin1 li4 yi4
彪形大漢	彪形大汉	biao1 xing2 da4 han4
標語	标语	biao1 yu3
標緻	标致	biao1 zhi4
標誌	标志	biao1 zhi4
標誌性	标志性	biao1 zhi4 xing4
標準	标准	biao1 zhun3
標準化	标准化	biao1 zhun3 hua4
表白	表白	biao3 bai2
表達	表达	biao3 da2
錶帶	表带	biao3 dai4
表裡如一	表里如一	biao3 li3 ru2 yi1
表露	表露	biao3 lu4
表露出來	表露出来	biao3 lu4 chu1 lai2
表露心跡	表露心迹	biao3 lu4 xin1 ji4
錶面	表面	biao3 mian4
表明	表明	biao3 ming2
表情	表情	biao3 qing2
錶瓤	表瓤	biao3 rang2
錶瓤兒	表瓤儿	biao3 rang2 er5
錶瓤子	表瓤子	biao3 rang2 zi5
錶瓤子	表瓤子	biao3 rang2 zi5
表示	表示	biao3 shi4
表示式	表示式	biao3 shi4 shi4
表述	表述	biao3 shu4
表現	表现	biao3 xian4
錶芯	表芯	biao3 xin4
表演	表演	biao3 yan3
表演魔術	表演魔术	biao3 yan3 mo2 shu4
表彰	表彰	biao3 zhang1
表姪	表侄	biao3 zhi2
婊子	婊子	biao3 zi5
鰾膠	鳔胶	biao4 jiao1
鱉甲	鳖甲	bie1 jia3
憋悶	憋闷	bie1 men4
憋悶氣	憋闷气	bie1 men4 qi4
憋尿	憋尿	bie1 niao4
憋氣	憋气	bie1 qi4
癟三	瘪三	bie1 san1
憋住	憋住	bie1 zhu4
別處	别处	bie2 chu4
別的	别的	bie2 de5
蹩腳	蹩脚	bie2 jiao3
別開生面	别开生面	bie2 kai1 sheng1 mian4
別來無恙	别来无恙	bie2 lai2 wu2 yang4
別人	别人	bie2 ren2
別受風寒	别受风寒	bie2 shou4 feng1 han2
別墅	别墅	bie2 shu4
別無所求	别无所求	bie2 wu2 suo3 qiu2
別無選擇	别无选择	bie2 wu2 xuan3 ze2
別有天地	别有天地	bie2 you3 tian1 di4
別針	别针	bie2 zhen1
別緻	别致	bie2 zhi4
彬彬有禮	彬彬有礼	bin1 bin1 you3 li3
繽紛	缤纷	bin1 fen1
賓館	宾馆	bin1 guan3
賓客	宾客	bin1 ke4
賓客盈門	宾客盈门	bin1 ke4 hen3 duo1
賓客如雲	宾客如云	bin1 ke4 ru2 yun2
瀕臨	濒临	bin1 lin2
賓雀	宾雀	bin1 que4
瀕死	濒死	bin1 si3
賓至如歸	宾至如归	bin1 zhi4 ru2 gui1
擯除	摈除	bin4 chu2
鬢髮	鬓发	bin4 fa4
殯殮	殡殓	bin4 lian4
擯棄	摈弃	bin4 qi4
殯儀館	殡仪馆	bin4 yi2 guan3
冰雹	冰雹	bing1 bao2
兵不血刃	兵不血刃	bing1 bu2 xue4 ren4
丙辰	丙辰	bing1 chen2
丙辰年	丙辰年	bing1 chen2 nian2
冰醋酸	冰醋酸	bing1 cu4 suan1
冰島	冰岛	bing1 dao3
冰凍	冰冻	bing1 dong4
冰河時期	冰河时期	bing1 he2 shi2 qi1
冰壺	冰壶	bing1 hu2
冰塊	冰块	bing1 kuai4
檳榔	槟榔	bing1 lang2
冰冷	冰冷	bing1 leng3
冰涼	冰凉	bing1 liang2
兵馬俑	兵马俑	bing1 ma3 yong3
冰淇淋	冰淇淋	bing1 qi2 lin2
兵戎	兵戎	bing1 rong2
冰山	冰山	bing1 shan1
冰霜	冰霜	bing1 shuang1
冰箱	冰箱	bing1 xiang1
冰屑	冰屑	bing1 xie4
兵役	兵役	bing1 yi4
稟報	禀报	bing3 bao4
秉承	秉承	bing3 cheng2
秉持	秉持	bing3 chi2
稟賦	禀赋	bing3 fu4
餅乾	饼干	bing3 gan1
丙基	丙基	bing3 ji1
屏氣	屏气	bing3 qi4
丙申	丙申	bing3 shen1
丙申年	丙申年	bing3 shen1 nian2
丙酮	丙酮	bing3 tong2
丙午	丙午	bing3 wu3
丙午年	丙午年	bing3 wu3 nian2
屏息	屏息	bing3 xi1
餅屑子	饼屑子	bing3 xie4 zi5
秉性	秉性	bing3 xing4
稟性	禀性	bing3 xing4
丙戌	丙戌	bing3 xu1
丙戌年	丙戌年	bing3 xu1 nian2
丙寅	丙寅	bing3 yin2
丙寅年	丙寅年	bing3 yin2 nian2
丙子	丙子	bing3 zi3
丙子年	丙子年	bing3 zi3 nian2
並不	并不	bing4 bu4
病從口入	病从口入	bing4 cong2 kou3 ru4
病從口入，禍從口出	病从口入，祸从口出	bing4 cong2 kou3 ru4 huo4 cong2 kou3 chu1
並存不悖	并存不悖	bing4 cun2 bu2 bei4
病毒界	病毒界	bing4 du2 jie4
併發症	并发症	bing4 fa1 zheng4
並非	并非	bing4 fei1
病夫	病夫	bing4 fu1
病患	病患	bing4 huan4
病急亂投醫	病急乱投医	bing4 ji2 luan4 tou2 yi1
並駕齊驅	并驾齐驱	bing4 jia4 qi2 qu1
並沒有	并没有	bing4 mei2 you3
病歿	病殁	bing4 mo4
並且	并且	bing4 qie3
病人	病人	bing4 ren2
病逝	病逝	bing4 shi4
病體	病体	bing4 ti3
病體康復	病体康复	bing4 ti3 kang1 fu4
併吞	并吞	bing4 tun1
並未	并未	bing4 wei4
並行不悖	并行不悖	bing4 xing2 bu2 bei4
病懨懨	病恹恹	bing4 yan1 yan1
病癒	病癒	bing4 yu4
病者	病者	bing4 zhe3
播報	播报	bo1 bao4
菠菜	菠菜	bo1 cai4
菠菜梗	菠菜梗	bo1 cai4 geng3
播出	播出	bo1 chu1
撥打	拨打	bo1 da3
波動	波动	bo1 dong4
剝奪	剥夺	bo1 duo2
播發	播发	bo1 fa1
播放	播放	bo1 fang4
撥號	拨号	bo1 hao4
播講	播讲	bo1 jiang3
波瀾	波澜	bo1 lan2
波浪	波浪	bo1 lang4
剝離	剥离	bo1 li2
玻璃	玻璃	bo1 li5
玻璃碴	玻璃碴	bo1 li5 cha2
菠蘿	菠萝	bo1 luo2
剝落	剥落	bo1 luo4
撥弄	拨弄	bo1 nong4
播弄	播弄	bo1 nong4
播遷	播迁	bo1 qian1
般若	般若	bo1 re3
撥冗	拨冗	bo1 rong3
播撒	播撒	bo1 sa3
剝蝕	剥蚀	bo1 shi2
播送	播送	bo1 song4
波濤	波涛	bo1 tao1
剝削	剥削	bo1 xue1
播音	播音	bo1 yin1
播映	播映	bo1 ying4
播種	播种	bo1 zhong3
播種機	播种机	bo1 zhong3 ji1
播種	播种	bo1 zhong4
博愛	博爱	bo2 ai4
博鰲論壇	博鳌论坛	bo2 ao2 lun4 tan2
伯伯	伯伯	bo2 bo5
駁斥	驳斥	bo2 chi4
薄酬	薄酬	bo2 chou2
搏鬥	搏斗	bo2 dou4
搏拊	搏拊	bo2 fu3
伯父	伯父	bo2 fu4
渤海	渤海	bo2 hai3
駁殼槍	驳壳枪	bo2 ke2 qiang1
博客	博客	bo2 ke4
舶來品	舶来品	bo2 lai2 pin3
博覽會	博览会	bo2 lan3 hui4
伯勞	伯劳	bo2 lao2
薄利多銷	薄利多销	bo2 li4 duo1 xiao1
玻璃杯	玻璃杯	bo2 li5 bei1
玻璃窗	玻璃窗	bo2 li5 chuang1
玻璃紙	玻璃纸	bo2 li5 zhi3
帛琉	帛琉	bo2 liu2
薄膜	薄膜	bo2 mo2
伯母	伯母	bo2 mu3
博取	博取	bo2 qu3
勃然大怒	勃然大怒	bo2 ran2 da4 nu4
薄弱	薄弱	bo2 ruo4
博士	博士	bo2 shi4
泊位	泊位	bo2 wei4
博物館	博物馆	bo2 wu4 guan3
博弈	博弈	bo2 yi4
柏油	柏油	bo2 you2
柏油路	柏油路	bo2 you2 lu4
柏油紙	柏油纸	bo2 you2 zhi3
脖子	脖子	bo2 zi5
跛腳	跛脚	bo3 jiao3
跛子	跛子	bo3 zi5
薄荷	薄荷	bo4 he5
薄荷錠	薄荷锭	bo4 he5 ding4
薄荷腦	薄荷脑	bo4 he5 nao3
薄荷糖	薄荷糖	bo4 he5 tang2
薄荷葉	薄荷叶	bo4 he5 ye4
薄荷油	薄荷油	bo4 he5 you2
簸箕	簸箕	bo4 ji1
晡禮	晡礼	bu1 li3
不必	不必	bu2 bi4
不便	不便	bu2 bian4
不辯菽麥	不辩菽麦	bu2 bian4 shu1 mai4
不錯	不错	bu2 cuo4
不大方便	不大方便	bu2 da4 fang1 bian4
不但	不但	bu2 dan4
不當	不当	bu2 dang4
不道德	不道德	bu2 dao4 de2
不到黃河心不死	不到黄河心不死	bu2 dao4 huang2 he2 xin1 bu4 si3
不到位	不到位	bu2 dao4 wei4
不動如山	不动如山	bu2 dong4 ru2 shan1
不動聲色	不动声色	bu2 dong4 sheng1 se4
不對勁	不对劲	bu2 dui4 jin4
不費吹灰之力	不费吹灰之力	bu2 fei4 chui1 hui1 zhi1 li4
不忿	不忿	bu2 fen4
不顧一切	不顾一切	bu2 gu4 yi2 qie4
不計	不计	bu2 ji4
不計成本	不计成本	bu2 ji4 cheng2 ben3
不記得	不记得	bu2 ji4 de2
不計得失	不计得失	bu2 ji4 de2 shi1
不計其數	不计其数	bu2 ji4 qi2 shu4
不計時日	不计时日	bu2 ji4 shi2 ri4
不見不散	不见不散	bu2 jian4 bu2 san4
不見得	不见得	bu2 jian4 de2
不見了	不见了	bu2 jian4 le5
不脛而走	不胫而走	bu2 jing4 er2 zou3
不客氣	不客气	bu2 ke4 qi5
不愧	不愧	bu2 kui4
不賴	不赖	bu2 lai4
不利落	不利落	bu2 li4 luo5
不料	不料	bu2 liao4
不吝賜教	不吝赐教	bu2 lin4 ci4 jiao4
不論	不论	bu2 lun4
不論如何	不论如何	bu2 lun4 ru2 he2
不寐	不寐	bu2 mei4
不耐煩	不耐烦	bu2 nai4 fan2
不切實際	不切实际	bu2 qie4 shi2 ji4
不切題	不切题	bu2 qie4 ti2
不入虎穴，焉得虎子	不入虎穴，焉得虎子	bu2 ru4 hu3 xue2 yan1 de2 hu3 zi5
不上算	不上算	bu2 shang4 suan4
不合算	不合算	bu2 shang4 suan4
不慎	不慎	bu2 shen4
不勝	不胜	bu2 sheng4
不適合	不适合	bu2 shi4 he2
不速之客	不速之客	bu2 su4 zhi1 ke4
不痛不癢	不痛不痒	bu2 tong4 bu4 yang3
不透明	不透明	bu2 tou4 ming2
不忘宿志	不忘宿志	bu2 wang4 su4 zhi4
不問年齡大小	不问年龄大小	bu2 wen4 nian2 ling3 da4 xiao3
不問是非曲直	不问是非曲直	bu2 wen4 shi4 fei1 qu1 zhi2
不問事實真相	不问事实真相	bu2 wen4 shi4 shi2 zhen1 xiang4
不務正業	不务正业	bu2 wu4 zheng4 ye4
不肖	不肖	bu2 xiao4
不肖子	不肖子	bu2 xiao4 zi3
不屑	不屑	bu2 xie4
不懈	不懈	bu2 xie4
不謝	不谢	bu2 xie4
不屑一顧	不屑一顾	bu2 xie4 yi2 gu4
不屑意	不屑意	bu2 xie4 yi4
不屑一讀	不屑一读	bu2 xie4 yi4 du2
不屑於	不屑于	bu2 xie4 yu2
不恤	不恤	bu2 xu4
不恤人言	不恤人言	bu2 xu4 ren2 yan2
不厭其煩	不厌其烦	bu2 yan4 qi2 fan2
不要緊	不要紧	bu2 yao4 jin3
不要臉	不要脸	bu2 yao4 lian3
不要怕	不要怕	bu2 yao4 pa4
不翼而飛	不翼而飞	bu2 yi4 er2 fei1
不一會兒	不一会儿	bu2 yi4 hui2 er5
不亦樂乎	不亦乐乎	bu2 yi4 le4 hu1
不義之財	不义之财	bu2 yi4 zhi1 cai2
不易之論	不易之论	bu2 yi4 zhi1 lun4
不用說	不用说	bu2 yong4 shuo1
不悅	不悦	bu2 yue4
不在乎	不在乎	bu2 zai4 hu1
不在手頭	不在手头	bu2 zai4 shou3 tou2
不贊一詞	不赞一词	bu2 zan4 yi4 ci2
不戰而勝	不战而胜	bu2 zhan4 er2 sheng4
不戰而降	不战而降	bu2 zhan4 er2 xiang2
不正常	不正常	bu2 zheng4 chang2
不置可否	不置可否	bu2 zhi4 ke3 fou3
不治之症	不治之症	bu2 zhi4 zhi1 zheng4
不重要	不重要	bu2 zhong4 yao4
不自量力	不自量力	bu2 zi4 liang4 li4
補償	补偿	bu3 chang2
補充	补充	bu3 chong1
哺啜	哺啜	bu3 chuo4
補丁	补丁	bu3 ding1
捕風捉影	捕风捉影	bu3 feng1 zhuo1 ying3
卜卦	卜卦	bu3 gua4
捕獲	捕获	bu3 huo4
哺雞	哺鸡	bu3 ji1
補給	补给	bu3 ji3
哺鞠	哺鞠	bu3 ju1
哺乳	哺乳	bu3 ru3
哺乳動物	哺乳动物	bu3 ru3 dong4 wu4
哺食	哺食	bu3 shi2
捕食	捕食	bu3 shi2
卜筮	卜筮	bu3 shi4
補貼	补贴	bu3 tie1
補血	补血	bu3 xue4
哺養	哺养	bu3 yang3
哺養嬰兒	哺养婴儿	bu3 yang3 ying1 er2
捕魚	捕鱼	bu3 yu2
捕魚維生	捕鱼维生	bu3 yu2 wei2 sheng1
哺育	哺育	bu3 yu4
卜者	卜者	bu3 zhe3
補助	补助	bu3 zhu4
補助金	补助金	bu3 zhu4 jin1
補綴	补缀	bu3 zhui4
捕捉	捕捉	bu3 zhuo1
不安	不安	bu4 an1
不諳	不谙	bu4 an1
不安定感	不安定感	bu4 an1 ding4 gan3
不安全	不安全	bu4 an1 quan2
不安全感	不安全感	bu4 an1 quan2 gan3
不諳水性	不谙水性	bu4 an1 shui3 xing4
不卑不亢	不卑不亢	bu4 bei1 bu2 kang4
布帛	布帛	bu4 bo2
布帛菽粟	布帛菽粟	bu4 bo2 shu1 su4
步步為營	步步为营	bu4 bu4 wei2 ying2
不成氣候	不成气候	bu4 cheng2 qi4 hou4
不恥下問	不耻下问	bu4 chi3 xia4 wen4
不愁吃穿	不愁吃穿	bu4 chou2 chi1 chuan1
不出戶知天下	不出户知天下	bu4 chu1 hu4 zhi1 tian1 xia4
不傳之秘	不传之秘	bu4 chuan2 zhi1 mi4
不辭辛勞	不辞辛劳	bu4 ci2 xin1 lao2
不從	不从	bu4 cong2
不達標	不达标	bu4 da2 biao1
不打不成器	不打不成器	bu4 da3 bu4 cheng2 qi4
不打不相識	不打不相识	bu4 da3 bu4 xiang1 shi2
不得	不得	bu4 de2
不得不	不得不	bu4 de2 bu4
不得而知	不得而知	bu4 de2 er2 zhi1
不得空	不得空	bu4 de2 kong4
不得了	不得了	bu4 de2 liao3
不得入內	不得入内	bu4 de2 ru4 nei4
不得體	不得体	bu4 de2 ti3
不得要領	不得要领	bu4 de2 yao4 ling3
不得志	不得志	bu4 de2 zhi4
不登大雅之堂	不登大雅之堂	bu4 deng1 da4 ya3 zhi1 tang2
不敵	不敌	bu4 di2
佈地雷	布地雷	bu4 di4 lei2
步調	步调	bu4 diao4
步調快速	步调快速	bu4 diao4 kuai4 su4
不懂世情	不懂世情	bu4 dong3 shi4 qing2
不動產	不动产	bu4 dong4 chan3
部隊	部队	bu4 dui4
不凡	不凡	bu4 fan2
不犯著	不犯着	bu4 fan4 zhao2
不方便	不方便	bu4 fang1 bian4
不妨	不妨	bu4 fang2
佈防	布防	bu4 fang2
不分軒輊	不分轩轾	bu4 fen1 xuan1 zhi4
不分主從	不分主从	bu4 fen1 zhu3 cong2
部分	部分	bu4 fen4
部分切除	部分切除	bu4 fen4 qie1 chu2
不符合	不符合	bu4 fu2 he2
不甘示弱	不甘示弱	bu4 gan1 shi4 ruo4
不敢當	不敢当	bu4 gan3 dang1
不敢為天下先	不敢为天下先	bu4 gan3 wei2 tian1 xia4 xian1
不敢有違	不敢有违	bu4 gan3 you3 wei2
不敢越雷池一步	不敢越雷池一步	bu4 gan3 yue4 lei2 chi2 yi2 bu4
不高興	不高兴	bu4 gao1 xing4
佈告	布告	bu4 gao4
佈告欄	布告栏	bu4 gao4 lan2
不公平	不公平	bu4 gong1 ping2
不鼓不成列	不鼓不成列	bu4 gu3 bu4 cheng2 lie4
布褂	布褂	bu4 gua4
不管	不管	bu4 guan3
不管三七二十一	不管三七二十一	bu4 guan3 san1 qi1 er4 shi2 yi1
不光	不光	bu4 guang1
