開放漢語詞典

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本詞典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）

［繁體字］	［簡體字］	［漢語拼音］
百足之蟲，死而不僵	百足之虫，死而不僵	bai3 zu2 zhi1 chong2 si3 er2 bu4 jiang1
敗北	败北	bai4 bei3
稗草	稗草	bai4 cao3
拜訪	拜访	bai4 fang3
拜訪親友	拜访亲友	bai4 fang3 qin1 you3
稗官	稗官	bai4 guan1
稗官小說	稗官小说	bai4 guan1 xiao3 shuo1
拜祭	拜祭	bai4 ji4
拜將	拜将	bai4 jiang4
敗將	败将	bai4 jiang4
拜金	拜金	bai4 jin1
敗軍之將	败军之将	bai4 jun1 zhi1 jiang4
拜師	拜师	bai4 shi1
稗史	稗史	bai4 shi3
拜謁	拜谒	bai4 ye4
敗仗	败仗	bai4 zhang4
敗陣	败阵	bai4 zhen4
稗政	稗政	bai4 zheng4
稗子	稗子	bai4 zi5
稗子麵	稗子面	bai4 zi5 mian4
稗子麵	稗子面	bai4 zi5 mian4
稗子麵饃饃	稗子面馍馍	bai4 zi5 mian4 mo2 mo2
搬兵	搬兵	ban1 bing1
斑駁	斑驳	ban1 bo2
頒佈	颁布	ban1 bu4
頒佈詔諭	颁布诏谕	ban1 bu4 zhao4 yu4
斑點	斑点	ban1 dian3
頒發	颁发	ban1 fa1
瘢痕	瘢痕	ban1 hen2
搬回	搬回	ban1 hui2
扳機	扳机	ban1 ji1
搬家	搬家	ban1 jia1
頒獎	颁奖	ban1 jiang3
頒獎典禮	颁奖典礼	ban1 jiang3 dian3 li3
搬進	搬进	ban1 jin4
斑鳩	斑鸠	ban1 jiu1
斑斕	斑斓	ban1 lan2
班門弄斧	班门弄斧	ban1 men2 nong4 fu3
搬弄	搬弄	ban1 nong4
搬弄是非	搬弄是非	ban1 nong4 shi4 fei1
搬遷	搬迁	ban1 qian1
扳手	扳手	ban1 shou3
搬移	搬移	ban1 yi2
搬運	搬运	ban1 yun4
班長	班长	ban1 zhang3
斑竹	斑竹	ban1 zhu2
班主任	班主任	ban1 zhu3 ren4
搬走	搬走	ban1 zou3
版本	版本	ban3 ben3
板壁	板壁	ban3 bi4
板擦	板擦	ban3 ca1
板凳	板凳	ban3 deng4
板塊	板块	ban3 kuai4
板牆	板墙	ban3 qiang2
版權	版权	ban3 quan2
板上釘釘	板上钉钉	ban3 shang4 ding1 ding4
板式	板式	ban3 shi4
板條箱	板条箱	ban3 tiao2 xiang1
板牙	板牙	ban3 ya2
板障	板障	ban3 zhang4
版主	版主	ban3 zhu3
板子	板子	ban3 zi5
辦案	办案	ban4 an4
半成品	半成品	ban4 cheng2 pin3
半島	半岛	ban4 dao3
辦得到	办得到	ban4 de5 dao4
辦法	办法	ban4 fa3
辦公	办公	ban4 gong1
辦公區	办公区	ban4 gong1 qu1
辦公室	办公室	ban4 gong1 shi4
辦公枱	办公台	ban4 gong1 tai2
辦公桌	办公桌	ban4 gong1 zhuo1
辦婚事	办婚事	ban4 hun1 shi4
扮家家酒	扮家家酒	ban4 jia1 jia1 jiu3
半斤八兩	半斤八两	ban4 jin1 ba1 liang3
辦離婚	办离婚	ban4 li2 hun1
辦理	办理	ban4 li3
辦理公務	办理公务	ban4 li3 gong1 wu4
